epoch,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,epoch_time_seconds,model,train_balanced_accuracy,val_balanced_accuracy
1,0.9685845113583954,0.7082709059810928,0.4030926886464638,0.7063323335763958,0.936263282049316,0.7993068138371262,0.319491609840577,0.7255364508543989,99.38682508468628,MLP with Embeddings,,
2,0.9496335066060656,0.7193951286776893,0.4213666814146807,0.7164507458852196,0.9428659264207518,0.7995362135744801,0.3235164434149182,0.7274763483235371,93.95858883857728,MLP with Embeddings,,
3,0.9435792960299516,0.7202360943316614,0.4274475999725107,0.7184152100251098,0.9363733694647186,0.798214671609289,0.3279026525763863,0.7290795929075,97.42744302749634,MLP with Embeddings,,
4,0.9392946966766956,0.7193023163309954,0.432149784231741,0.7191372245479392,0.941448857425714,0.7967584819721728,0.3358903317375633,0.7323571055900208,100.57527470588684,MLP with Embeddings,,
5,0.9343387665706884,0.7176032264379479,0.4371484359548396,0.7192756553813698,0.9402839142866768,0.7968415978190402,0.3403088360804864,0.7344542766715648,103.01093578338624,MLP with Embeddings,,
6,0.9321217363400832,0.7174123371786763,0.4394241461949455,0.7196625033316837,0.9476290544609952,0.7985222002426983,0.3329475265610538,0.7317494026045368,97.51216316223145,MLP with Embeddings,,
7,0.9299644674616634,0.7172774083049112,0.4418735972478866,0.7200663068065192,0.9463827498322924,0.7976710939707765,0.3384294574778424,0.7340273814759392,94.24330854415894,MLP with Embeddings,,
8,0.927294258907966,0.7161765290834118,0.4440878093243667,0.7199452818634587,0.9501633330498184,0.7968366108682281,0.3410931074813974,0.7349336972208925,96.51316595077516,MLP with Embeddings,,
9,0.926032890895233,0.715732940661713,0.4454406681024665,0.7200474253740534,0.9456797912241024,0.795418654520671,0.3441185993071651,0.7357851738765421,96.67865824699402,MLP with Embeddings,,
10,0.9249175251900842,0.7154352002133904,0.4466748845600068,0.7200773107094555,0.9489859436524446,0.7957976627823861,0.3434983067622665,0.7356233201092146,98.03959846496582,MLP with Embeddings,,
11,0.9233840231681298,0.7153047559698227,0.4479870076344165,0.7202796749673677,0.9514769217660318,0.7955732499958442,0.3450308002770241,0.7362561525975841,96.88514471054076,MLP with Embeddings,,
12,0.9226823275693532,0.7154326654224092,0.4485225694257113,0.7204758202156315,0.9524851159247906,0.795390395132736,0.345626663471251,0.7364491650006407,102.5524559020996,MLP with Embeddings,,
13,0.9224179167388042,0.7147250687708292,0.4490250306688076,0.7201753970389646,0.9525203247183028,0.7955466529248466,0.3455926533176623,0.7365034060318553,99.80730390548706,MLP with Embeddings,,
14,0.9213914935897536,0.7146503899288464,0.4499200173396713,0.7203267457846243,0.9525252268099036,0.7956613527935236,0.3458895749409397,0.7366466567629508,99.36632990837096,MLP with Embeddings,,
15,0.9211614429900274,0.7146164627264836,0.4498389421952393,0.7202861415049411,0.9537526731421176,0.7949714912645245,0.3468218806528911,0.7367948977859142,103.97572827339172,MLP with Embeddings,,
